RiskLevel, ConditionType, Condition                   , Trimester    , Breakfast               , Lunch                       , Dinner                     , ExerciseRecommendation   , MedicineName
low risk , General      , Normal vitals               , 1st Trimester, Oats + milk + banana    , Rice + dal + vegetables     , Chapati + paneer curry     , Walking 30 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 1st Trimester, Idli + sambar           , Brown rice + spinach curry  , Roti + mixed vegetables    , Prenatal yoga 15 min     , Folic Acid + Calcium
low risk , General      , Normal vitals               , 1st Trimester, Boiled egg + toast      , Rice + lentils + beans      , Chapati + dal              , Walking 25 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 2nd Trimester, Milk + nuts + oats      , Rice + chicken curry + salad, Roti + vegetable curry     , Walking 30 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 2nd Trimester, Fruit bowl + yogurt     , Millet rice + dal           , Chapati + paneer           , Stretching 20 min        , Folic Acid + Calcium
low risk , General      , Normal vitals               , 2nd Trimester, Dosa + chutney          , Rice + spinach + dal        , Roti + egg curry           , Walking 35 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 3rd Trimester, Oats + dates            , Rice + vegetables + dal     , Chapati + curd             , Slow walking 20 min      , Folic Acid + Calcium
low risk , General      , Normal vitals               , 3rd Trimester, Banana smoothie + nuts  , Rice + fish curry           , Roti + spinach             , Walking 20 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 3rd Trimester, Boiled egg + milk       , Brown rice + dal + salad    , Chapati + beans            , Stretching 15 min        , Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 1st Trimester, Dates + milk            , Spinach rice + lentils      , Chapati + beetroot curry   , Prenatal yoga 10 min     , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 1st Trimester, Boiled egg + dates      , Rice + spinach dal          , Roti + beans curry         , Walking 20 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 1st Trimester, Pomegranate + nuts      , Rice + chicken liver curry  , Chapati + spinach          , Stretching 15 min        , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 2nd Trimester, Dates smoothie          , Rice + green gram curry     , Roti + beetroot            , Walking 25 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 2nd Trimester, Milk + dry fruits       , Rice + spinach + dal        , Chapati + egg curry        , Prenatal yoga 15 min     , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 2nd Trimester, Boiled egg + juice      , Millet + lentils            , Roti + beans               , Walking 30 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 3rd Trimester, Dates + yogurt          , Rice + spinach curry        , Chapati + dal              , Slow walking 15 min      , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 3rd Trimester, Milk + dates            , Rice + fish curry           , Roti + spinach             , Walking 15 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 3rd Trimester, Boiled egg + milk       , Rice + lentils + salad      , Chapati + beetroot         , Stretching 10 min        , Ferrous Sulfate + Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 1st Trimester, Coconut water + banana  , Rice + dal + curd           , Roti + vegetables          , Walking 15 min           , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 1st Trimester, Fruit juice + oats      , Rice + salad + dal          , Chapati + soup             , Stretching 10 min        , Folic Acid + Calcium
